time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,21,5,0,0
2026-01-25 00:00:00+00:00,14,6,0,0
2026-01-26 00:00:00+00:00,40,8,0,0
2026-01-27 00:00:00+00:00,11,7,0,0
2026-01-28 00:00:00+00:00,27,7,0,0
2026-01-29 00:00:00+00:00,22,6,0,0
2026-01-30 00:00:00+00:00,22,6,0,0
2026-01-31 00:00:00+00:00,31,7,0,0
2026-02-01 00:00:00+00:00,32,11,0,0
2026-02-02 00:00:00+00:00,30,9,0,0
2026-02-03 00:00:00+00:00,7,3,0,0
2026-02-04 00:00:00+00:00,18,5,0,0
2026-02-05 00:00:00+00:00,23,6,0,0
2026-02-06 00:00:00+00:00,21,4,0,0
