url_path,views_total,views_unique
/KajaBraz/AdventOfCode2023,65,21
/KajaBraz/AdventOfCode2023/blob/main/day08/solution.py,40,8
/KajaBraz/AdventOfCode2023/tree/main/day08,39,8
/KajaBraz/AdventOfCode2023/tree/main,33,10
/KajaBraz/AdventOfCode2023/blob/main/day11/solution.py,21,7
/KajaBraz/AdventOfCode2023/blob/main/day06/solution.py,20,7
/KajaBraz/AdventOfCode2023/tree/main/day06,20,6
/KajaBraz/AdventOfCode2023/tree/main/day11,19,7
/KajaBraz/AdventOfCode2023/blob/main/day07/solution.py,19,6
/KajaBraz/AdventOfCode2023/blob/main/day12/solution.py,19,4
